"QID","P49","P49QP52","1P49","1P49Q52","2P49","2P49Q52","3P49","3P49Q52","4P49","4P49Q52"
"Q1148","Q2549","0.6507","Q1093","0.6615","Q1046","0.7529","Q2105","0.7941","Q1064","0.7942"
"Q1791","Q1056","0.5574","Q1098","0.6106","Q1675","0.6116","Q1674","0.6261","Q1494","0.6373"
"Q1674","Q1056","0.5791","Q1494","0.5996","Q1587","0.6171","Q1791","0.6261","Q1594","0.6475"
"Q1241","Q1056","0.7475","Q1494","0.821","Q1675","0.8214","Q1791","0.8451","Q1098","0.8554"
"Q1593","Q1056","0.6165","Q1675","0.634","Q1791","0.6702","Q1098","0.6757","Q1845","0.6816"
"Q1594","Q1056","0.6114","Q1674","0.6475","Q1587","0.6681","Q1595","0.6711","Q1494","0.674"
"Q1056","Q1098","0.5263","Q1791","0.5574","Q1675","0.5776","Q1587","0.5785","Q1674","0.5791"
"Q1494","Q1674","0.5996","Q1791","0.6373","Q1056","0.6643","Q1594","0.674","Q1587","0.6898"
"Q1595","Q1674","0.6528","Q1594","0.6711","Q1587","0.7089","Q1056","0.7295","Q1845","0.7297"
"Q1098","Q1056","0.5263","Q1675","0.5881","Q1791","0.6106","Q1597","0.6627","Q1845","0.6654"
"Q1597","Q1674","0.6504","Q1098","0.6627","Q1791","0.6711","Q1056","0.6914","Q1494","0.6965"
"Q1792","Q1845","0.7376","Q1098","0.7481","Q1791","0.7775","Q1593","0.794","Q1494","0.7973"
"Q1675","Q1056","0.5776","Q1098","0.5881","Q1791","0.6116","Q1593","0.634","Q1674","0.7058"
"Q1587","Q1056","0.5785","Q1674","0.6171","Q1845","0.6604","Q1594","0.6681","Q1098","0.6815"
"Q1845","Q1587","0.6604","Q1098","0.6654","Q1791","0.6808","Q1593","0.6816","Q1056","0.6906"
"Q1353","Q1353","0.7862","Q3979","0.9042","Q1022","0.9128","Q1892","0.9171","Q1668","0.9213"
"Q1032","Q2615","0.8069","Q2000","0.866","Q2240","0.8785","Q1065","0.8805","Q1037","0.8831"
"Q1040","Q1028","0.7277","Q3975","0.7805","Q2549","0.8371","Q1148","0.8431","Q1046","0.8635"
"Q3975","Q1028","0.6986","Q1040","0.7805","Q1098","0.8917","Q1792","0.9077","Q1081","0.9107"
"Q1028","Q3975","0.6986","Q1040","0.7277","Q1051","0.7644","Q1048","0.7816","Q2207","0.7823"
"Q2240","Q2125","0.6637","Q1066","0.6865","Q2105","0.7469","Q3977","0.7628","Q2615","0.7935"
"Q1087","Q1066","0.7323","Q3977","0.7492","Q2125","0.7825","Q2240","0.7985","Q3976","0.8145"
"Q1066","Q2125","0.6427","Q2240","0.6865","Q1087","0.7323","Q3977","0.7581","Q2615","0.81"
"Q2125","Q1066","0.6427","Q2240","0.6637","Q2615","0.7241","Q1065","0.7455","Q1918","0.7805"
"Q1470","Q3977","0.8748","Q1013","0.8861","Q1018","0.9088","Q1066","0.9124","Q2240","0.9141"
"Q2290","Q1035","0.8895","Q1027","0.8961","Q2000","0.9023","Q3981","0.9113","Q1087","0.9118"
"Q3976","Q3977","0.777","Q1087","0.8145","Q2240","0.8389","Q1066","0.8414","Q2125","0.8502"
"Q3977","Q1087","0.7492","Q1066","0.7581","Q2240","0.7628","Q3976","0.777","Q2125","0.7879"
"Q1037","Q1015","0.4262","Q1013","0.431","Q1016","0.7841","Q1049","0.7872","Q1429","0.8021"
"Q1013","Q1037","0.431","Q1015","0.4704","Q1018","0.7803","Q1046","0.84","Q1064","0.8501"
"Q1015","Q1037","0.4262","Q1013","0.4704","Q1016","0.7987","Q2240","0.8125","Q1066","0.8312"
"Q1088","Q3978","0.641","Q1089","0.7924","Q1022","0.7982","Q3979","0.8053","Q1081","0.8239"
"Q3978","Q1088","0.641","Q1027","0.7901","Q1081","0.8087","Q2044","0.8268","Q1089","0.8316"
"Q3979","Q1088","0.8053","Q1089","0.8348","Q3978","0.84","Q1013","0.8503","Q1093","0.8714"
"Q3980","Q1027","0.7712","Q3978","0.8466","Q3981","0.8518","Q1086","0.8522","Q1892","0.8545"
"Q1089","Q2549","0.7563","Q1088","0.7924","Q2240","0.8226","Q2105","0.8246","Q3978","0.8316"
"Q3981","Q1027","0.8007","Q1086","0.8267","Q3980","0.8518","Q3987","0.8522","Q1039","0.8522"
"Q1100","Q2511","0.5962","Q2567","0.6607","Q2744","0.6706","Q2105","0.8794","Q2615","0.8887"
"Q2744","Q2511","0.6457","Q2567","0.6466","Q1100","0.6706","Q1051","0.8932","Q1057","0.9028"
"Q2511","Q2567","0.5801","Q1100","0.5962","Q2744","0.6457","Q2615","0.8522","Q1088","0.8841"
"Q2567","Q2511","0.5801","Q2744","0.6466","Q1100","0.6607","Q1051","0.7536","Q2207","0.8029"
"Q2356","Q2393","0.6903","Q2044","0.7511","Q3990","0.8622","Q3978","0.8677","Q1088","0.8822"
"Q2044","Q2356","0.7511","Q3978","0.8268","Q1035","0.8607","Q1088","0.8715","Q3980","0.8736"
"Q2393","Q2356","0.6903","Q2044","0.885","Q3985","0.8993","Q1892","0.9126","Q1861","0.9163"
"Q1073","Q2207","0.5013","Q1057","0.5167","Q1051","0.6891","Q1048","0.7564","Q1123","0.8159"
"Q1057","Q1073","0.5167","Q2207","0.6526","Q1051","0.7826","Q1048","0.8213","Q2567","0.8222"
"Q2207","Q1073","0.5013","Q1048","0.5097","Q1057","0.6526","Q1051","0.6635","Q1123","0.7101"
