P13	check		P5	1P5	2P5	3P5	4P5								P4					P44			P7	P43				P46			P45									P47			P48			P49			P50			P51		P52		
new	items																																																							
id	s	s1	a	a1	a2	a3	a4	author_string	trd	trd1	trd2	trd3	trd_string	ed	ti	ti1	pl_string	pl1	pl2	pb_string	pb1	pb2	y	year_string	y1	y2	y3	f	f1	f2	p	p1	bib	bib1	ex	ex1	ex2	tr	tr1	r_p	r_p1	r_p2	r_pl	r_pl1	r_pl2	r_n	r_n1	r_n2	r_c	r_c1	r_c2	r_s	r_s1	r_st	r_st1	r_st2
00.1															Adèle de Montmorency ou la belle émigrée		Paris			Marchand			1800	1800				2t. in-12					JG III 342; JT 10 vend. IX Delcro																							
00.10															Camille et Agathe ou l’amour vainqueur de la mort		Paris			Lepetit, Ouvrier & Lebour			1800	VIII				in-12			ix + 170p.		Bruxelles+ Oron JG III 18; JP 20 niv. VIII; JT 10 niv., 30 flor. VIII		Le titre de départ est: Camille et Agathe ou les amours du bon vieux tems.					Lettres			France			Camille, Agathe, le marquis de ***			correspondance entre un époux mort et son épouse vivante			ton sensible, réflexions morales				
00.100			LEMAIRE, Henri												Le conscrit ou les billets de logement, par H. Lemaire, auteur de la Pauvre rentière		Paris			Ouvrier, de l’imprimerie d’Egron, rue des Noyers			1800	an VIII-1800				in-12			248p.		BM+ JT 30 flor. VIII Delcro Monglond Pigoreau Q							1re personne			France			Melcourt, Fanchette, dame Gertrude			aventures d’un auteur conscrit			ton satirique				
00.101			LEPREUX, J.-O.												Julienne ou le caveau dans la forêt		Paris			Rochette			1800	an VIII				in-18					JT 5 flor. VIII Monglond Q																							
00.102			LE VACHER DE LA FEUTRIE, madame S.-M.												Nella ou la Carinthienne, par madame S.M.L.		Paris			chez l’auteur			1800	an VIII				3 part, in-12			xiii + 162, 219, 241p.		BN+ JG III 310; JT 10 vend. IX; Mag. enc. VI 1800 iv 430 Monglond Q							3e personne			Allemagne			le baron de Kinisberg, Nella, le comte de Waltron, Frédérick			histoires de famille, aventures romanesques			sensibilité				
00.103	n		LOAISEL DE TRÉOGATE, Joseph-Marie												Valrose ou les orages de l’amour, par J.M. Laoisel Tréogate (sic), auteur de Dolbreuse, de Lucile et Milcourt, etc. etc.		Paris			Le Prieur			1800	an VIII				2t. in-12			xxii + 24-228, 226p.		Leningrad JG III 111; JP 27 therm. VIII; JT 30 vent. VIII Delcro Gay Loaisel de Saulnays Monglond Pigoreau Q		C’est une version considérablement remaniée de Ainsi finissent les grandes passions (v. 87.54bis).					1re personne (mémoires)			Paris, Menerville			Valrose, Adélaide de Salandrie, monseigneur de Montaiglon, Dolbell			intrigue sentimentale			éléments érotiques et sombres				
00.104			MALARME, Charlotte de Bournon, comtesse de												Miralba, chef de brigands, par Charlotte Boumon-Malarme, académicienne		Paris			Maradan			1800	an VIII				2t. in-12			323, 322p.		Oron+ JG III 50; JP 29 pluv. VIII; JT 25 pluv. VIII Monglond Q Saint-Fargeau							3e personne			Angleterre, Italie			mylord Henry Lonsdale, Freshend (valet), Béatrice Torbori, Eleonor Madoria, lady Harriot Stanley			aventures romanesques							
00.105			MEISTER, Jakob Heinrich												Entretiens philosophiques et politiques suivis de Betzi ou l’amour comme il est, roman qui n’en est pas un		Hambourg			marchands de nouveautés			1800	1800				in-12			375p.		Zurich Stadtbibliothek Gay Monglond Q Betzi:							3e personne			Paris			Seligni, Betzi			les amours d’un homme qui avait renoncé aux passions							
00.106			MÉRÉ, Elisabeth Guénard, madame Brossin de												Irma ou les malheurs d’une jeune orpheline, histoire indienne, avec des romances, publiée par la Ce Gd		A Delhy & Paris			chez l’auteur et les marchands de nouveautés			1800	an VIII				2t. in-12			218, 226 + 8p.		BN+ JG III 19, 144; JP 1er flor. VIII; JT 5 niv., 15 germ., 30 mess. VIII Gay Monglond		A la dernière page du t. Il de cette édition on trouve le mot ‘fin’; mais la même année madame Méré a publié une version augmentée de son roman, comprenant un troisième et un quatrième tome (v. Autres éditions, ci-dessous).					1re personne, avec des lettres			Indes			Irma, le Bien-aimé, Sœbralna, Sélabius, Blodina			aventures, voyages, malheurs			ouvrage à clef (la fin du t. II présente une histoire de la Révolution sous des noms indiens)				
00.107			MÉRÉ, Elisabeth Guénard, madame Brossin de												Zulmée ou la veuve ingénue, nouvelle traduction de l’italien		Paris			Mlle Durand			1800	1800				in-18			147p.		BN+ Gay (trad. supposée) Monglond Q							Cadre 1re personne et récit principal 3e personne			France, Italie			le marquis d’Orsan, Zulmée, madame Delmasse, le duc de Blérancourt, Michaello			intrigue sentimentale							
00.108			MONTALEMBERT, Marie-Joséphine de Comarrieu, marquise de												Elise Duménil, par Marie de Comarrieu, marquise de Montalembert		Londres			A. Dulau			1800	1800				5t. in-12			210, 225, 249, 257 314p.		Bibl. Monglond+ Monglond		Q donne la date de 1798 pour la première édition, avec le titre: Elise Duménil, roman original.					Lettres			province, Paris, Londres. Italie			Elise Duménil, Mde. de Pressange, Alfred, Ferdinand, Mr. Duménil, Mlle. Léris, la marquise de Lonel			amours contrariées et malheureuses			ton sombre				
00.109			MONTJOIE, Félix-Louis-Christophe												Histoire de quatre Espagnols, par F.L.C. Montjoye		Paris			Le Normant			1800	an IX.-1800				4t. in-12			iv + 304, 235, 407, 489p.		Stockholm+ DLC+							Lettres			Italie, Espagne			Fernand Texado, Joséphine, don Pédro de Massaréna, François Sancha, Charlotte de Suza			intrigues mondaines et sentimentales, aventures romanesques							
00.11															Caroline et Saint-Hilaire ou les putains du Palais-Royal		Paris			dans un bordel			1800	an 8				8, 2t. in-18			xxiv + 136, 116p.		BN+ Monglond		BN a deux éditions du XIXe siècle portant de fausses dates: Londres, dans un b....., 1784; et: Au Palais-Royal, veuve Girouard, an 8. Gay signale une série de versions publiées après 1800: deux éditions de Londres, 1784 (1830 et 1831); Paris, an VIII (1831); Paris, 1815 (1862); une édition de 1878; et Londres, s.d. La date de 1784 qu’on a proposée pour la première édition semble peu vraisemblable, car le texte comporte des allusions à la Révolution et aux émigrés.					Dialogues et récits 1re personne			Paris, province			Caroline, St. Far, Actéon, madame Durancy			aventures galantes, précisions pornographiques							
00.110	t		NAUBERT, Christiane-Bénédicte-Eugénie						BOCK, Jean-Nicolas-Étienne, baron de						Les chevaliers des sept montagnes ou aventures arrivées dans le treizième siècle, du temps où le Tribunal secret avait sa plus grande influence, avec une notice sur l’état ancien et actuel de ce tribunal, traduit de l’allemand par Jean-Nicolas-Etienne de Bock		Paris			Maradan. Leipzig, Texier& Metz, Devilly, Belimer			1800	an IX (1800)				3t. in-16			256, 269, 226p.		BN+ JT 10 frim. IX Monglond Q		La dédicace est datée du 1 er août 1800. L’attribution à madame Naubert est douteuse.			Trad. de Der Ritter vom Siebengebirge, 1797-98.		Dialogues, avec narration 3e personne			Allemagne (XIIle siècle)			le chevalier Henri de Feldek, Otton de Drachenfels, Wilibald de Barenstein			aventures chevaleresques, intrigues sentimentales, éléments du roman noir							
00.111			NEYER, J.-A.												Rodolphe ou le sauvage de l’Aveyron		Paris			Garnier, Jombert.			1800	1800				in-18			108p.		JG III 342; JT 10 vend. IX B Monglond Q		Il s’agit sans doute d’une relation romanesque concernant l’enfant qu’on a trouvé en 1797, menant une vie solitaire dans les bois. V. Lucien Maison, Les enfants sauvages, Paris, 1964.																					
00.112			NOGARET, François-Félix												L’antipode de Marmontel ou nouvelles fictions, ruses d’amour et espiègleries de l’Aristénète français, opuscule précédé de la correspondance de l’auteur avec Pamy, Palissot et autres littérateurs		Paris			de l’imprimerie de Glisau			1800	prairial an VIII				2 part, in-18			196, 184p.		BM+ JG III 239-40; JT 15 therm. VIII; Veillées III 8 an IX 186-7 B Gay Monglond Q		Dans l’exemplaire du BM, il y a une deuxième page de titre libellée comme ci-dessus, à part la mention ’première partie’ et le mot ‘prairial’, qui ont été supprimés. I, 59-79, L’interprète des songes; 80-93, Le triomphe de Philolaüs: 94-108, Métrodore et Myrrine ou le supplice de la jalousie; 109-112, L’heure du berger, son origine; 115-190, Aglaonice ou la belle au concours (v. 90.54). II. 19-5 7, La belle fileuse ou Laodice et Nirée; avec des vers, des dialogues et des dissertations.																					
00.113			NOUGARET, Pierre-Jean-Baptiste												Paris ou le rideau levé, anecdotes singulières, bizarres et sentimentales, pour servir à l’histoire de nos mœurs anciennes et nouvelles, avec des faits qui n’avaient point encore été publiés, le tout recueilli et mis au jour par P.-J.-B. Nougaret		Paris			l’auteur, Desenne. Deterville, Belin, Fuchs, Dugour, Duchesne			1800	an VIII				3t. in-12			viii + 244, 230, 226p.		BN+ JP 4 therm. VII: JT 20 therm. VII Gay Pigoreau O		Les bibliographes donnent la date de 1799.																			Cent huit anecdotes pour peindre les mœurs: Le galant septuagénaire; Les illusions de la coquetterie ou la vieille amoureuse: Nos anciennes lois pénales; L’honnête créancier; L’avare; La restitution inattendue; etc		
